Filename,Luminance_mean,Luminance_std,Contrast_mean,Contrast_std,Saturation_mean,Saturation_std
image01.jpg,0.3975,0.302,0.3975,0.302,0.2299,0.203
image02.jpg,0.2939,0.2001,0.2939,0.2001,0.1946,0.1594
image03.jpg,0.5079,0.2154,0.5079,0.2154,0.1386,0.1537
image04.jpg,0.4012,0.2107,0.4012,0.2107,0.1741,0.2142
image05.jpg,0.4155,0.2723,0.4155,0.2723,0.2164,0.1362
image06.jpg,0.2931,0.2191,0.2931,0.2191,0.5205,0.307
image07.jpg,0.3307,0.1888,0.3307,0.1888,0.3616,0.2452
image08.jpg,0.4213,0.2297,0.4213,0.2297,0.193,0.2234
image09.jpg,0.5062,0.2889,0.5062,0.2889,0.2742,0.2129
image10.jpg,0.5119,0.298,0.5119,0.298,0.1541,0.1389
image11.jpg,0.5746,0.1302,0.5746,0.1302,0.0733,0.0551
image12.jpg,0.3391,0.217,0.3391,0.217,0.273,0.1793
